,날짜,종목명,종가(백만원),거래량(천주),전일대비
115,20251128,KRX 자동차,2331.62,17722548,35.1
116,20251128,KRX 헬스케어,4989.18,31020906,133.62
117,20251201,KRX 건설,776.06,17354924,-13.35
118,20251201,KRX 자동차,2294.57,11788631,-37.05
119,20251201,KRX 헬스케어,5017.10,29249151,27.92
120,20251202,KRX 건설,785.34,9243773,9.28
121,20251202,KRX 자동차,2376.20,24410590,81.63
122,20251202,KRX 헬스케어,4979.90,25087224,-37.2
123,20251203,KRX 건설,809.35,22793329,24.01
124,20251203,KRX 자동차,2415.51,14140013,39.31
125,20251203,KRX 헬스케어,4978.88,34927632,-1.02
126,20251204,KRX 건설,799.81,17857879,-9.54
127,20251204,KRX 자동차,2486.75,21995673,71.24
128,20251204,KRX 헬스케어,4990.91,29784525,12.03
129,20251205,KRX 건설,836.32,22471156,36.51
130,20251205,KRX 자동차,2607.52,22723844,120.77
131,20251205,KRX 헬스케어,4860.54,44556559,-130.37
132,20251208,KRX 건설,822.35,29733091,-13.97
133,20251208,KRX 자동차,2604.74,14134245,-2.78
134,20251208,KRX 헬스케어,4806.33,36887536,-54.21
135,20251209,KRX 건설,815.10,22556277,-7.25
136,20251209,KRX 자동차,2559.72,12215606,-45.02
137,20251209,KRX 헬스케어,4858.19,30994237,51.86
138,20251210,KRX 건설,812.28,13777721,-2.82
139,20251210,KRX 자동차,2547.48,10938220,-12.24
140,20251210,KRX 헬스케어,4899.63,33119361,41.44
141,20251211,KRX 건설,831.19,55445091,18.91
142,20251211,KRX 자동차,2516.66,16310158,-30.82
143,20251211,KRX 헬스케어,4913.26,59600055,13.63
144,20251212,KRX 건설,869.81,88902337,38.62
145,20251212,KRX 자동차,2579.65,10633278,62.99
146,20251212,KRX 헬스케어,4865.25,45320878,-48.01
147,20251215,KRX 건설,839.68,105706338,-30.13
148,20251215,KRX 자동차,2532.83,8977779,-46.82
149,20251215,KRX 헬스케어,4927.73,30104286,62.48
150,20251216,KRX 건설,816.94,86006726,-22.74
