iter	Logloss
0	0.6503735695
1	0.6128611178
2	0.5723032055
3	0.5371658734
4	0.5056907556
5	0.4723325625
6	0.4441512522
7	0.4183813601
8	0.3994695869
9	0.3813430227
10	0.3611594067
11	0.343229267
12	0.3291118039
13	0.3156720333
14	0.3029625882
15	0.2891847672
16	0.2801615044
17	0.2690861252
18	0.2597826084
19	0.2515511451
20	0.2441463381
21	0.2354941705
22	0.2282781873
23	0.2209039054
24	0.2141516221
25	0.2083844351
26	0.2027184096
27	0.197165456
28	0.1921180457
29	0.1866698274
30	0.1825079263
31	0.1767826185
32	0.1728632781
33	0.1695694561
34	0.1656277901
35	0.1630062642
36	0.1602492367
37	0.1569762159
38	0.1533477632
39	0.1504882651
40	0.1474006475
41	0.1449272192
42	0.1421043258
43	0.1396686317
44	0.1376555425
45	0.1354801871
46	0.133477363
47	0.1315527394
48	0.1294816704
49	0.1281879087
50	0.1261501052
51	0.1247463349
52	0.122733339
53	0.1207721205
54	0.1188968379
55	0.1176788321
56	0.1161838575
57	0.1147751143
58	0.1138106432
59	0.1125003765
60	0.1113399291
61	0.1100700717
62	0.1086442358
63	0.1075478067
64	0.1066715535
65	0.1056620265
66	0.1047876808
67	0.1038339166
68	0.1029631772
69	0.1021648409
70	0.1010855143
71	0.1001772332
72	0.09912112148
73	0.09820957448
74	0.09758009804
75	0.09686633317
76	0.09612671026
77	0.09532578197
78	0.09457946863
79	0.09386548043
80	0.09323967558
81	0.09282210831
82	0.09207029068
83	0.09161071717
84	0.09117020216
85	0.0906658314
86	0.09015513158
87	0.08951142007
88	0.08889980849
89	0.08832457292
90	0.08773843903
91	0.08738664811
92	0.08677717899
93	0.08647662053
94	0.08608226531
95	0.08548226405
96	0.08505086402
97	0.08442195791
98	0.08394234226
99	0.0834978325
100	0.08310794703
101	0.08269795389
102	0.08229894635
103	0.08191562651
104	0.08150694743
105	0.08114595351
106	0.08076834731
107	0.080434251
108	0.08008574047
109	0.07954747526
110	0.07925012153
111	0.07877549965
112	0.07839835931
113	0.07816117369
114	0.07782481149
115	0.07767572755
116	0.07724768696
117	0.07691912512
118	0.07645887814
119	0.0761676699
120	0.07576885776
121	0.07552423237
122	0.07515932388
123	0.07494868662
124	0.07472390289
125	0.07428539149
126	0.07392955504
127	0.0736168608
128	0.07326562627
129	0.07286803691
130	0.07253717201
131	0.07223215752
132	0.07193994402
133	0.07171506444
134	0.0713811708
135	0.07106459407
136	0.07074097163
137	0.07043802154
138	0.07016179748
139	0.06995079374
140	0.06951139504
141	0.06936696966
142	0.06901083229
143	0.06879871553
144	0.06835985533
145	0.06803453247
146	0.06780535602
147	0.06747610466
148	0.06717981616
149	0.06695355237
150	0.06669486129
151	0.0664138893
152	0.06590908263
153	0.06571074011
154	0.06544869152
155	0.06528848203
156	0.06506819295
157	0.06481557364
158	0.06465827875
159	0.06445237339
160	0.06421428018
161	0.06404900165
162	0.06378824357
163	0.06353868793
164	0.06334421853
165	0.0630743689
166	0.06288392097
167	0.06271107264
168	0.06257840253
169	0.06230247289
170	0.06213595751
171	0.06199257427
172	0.06167222794
173	0.06144001385
